id,name,category,quantity,price,created_at,updated_at
21,"2 BARRELS GRAPE BDY",BRANDY,375,270,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
22,"2 BARRELS GRAPE BDY",BRANDY,750,500,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
24,".44 CALIBER DELUXE WHISKY",WHYSKY,180,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
29,".44 CALIBER PREMIUM BRANDY",BRANDY,180,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
33,"0 HOUR XXX RUM",RUM,1000,290,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
34,"0 HOUR XXX RUM",RUM,750,250,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
35,"1 UP CLASSIC XXX RUM",RUM,750,280,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
36,"1 UP XXX RUM",RUM,375,130,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
37,"100 PIRATES XXX RUM",RUM,1000,410,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
38,"100 PIRATES XXX RUM",RUM,180,100,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
39,"100 PIRATES XXX RUM",RUM,375,180,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
40,"100 PIRATES XXX RUM",RUM,500,220,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
41,"100 PIRATES XXX RUM",RUM,750,360,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
43,"100 STROKES BRANDY",BRANDY,180,240,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
44,"100 STROKES BRANDY",BRANDY,375,470,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
47,"10000 VOLTS PREMIUM STRONG BEER",BEER,500,100,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
48,"10000 VOLTS PREMIUM STRONG BEER",BEER,650,110,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
49,"111 OAK WHITE RUM",RUM,1000,350,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
50,"111 OAK WHITE RUM",RUM,180,140,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
51,"111 OAK WHITE RUM",RUM,375,260,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
52,"111 OAK WHITE RUM",RUM,500,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
53,"111 OAK WHITE RUM",RUM,750,470,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
54,"11TH HOUR PREMIUM BRANDY",BRANDY,180,110,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
55,"11TH HOUR PREMIUM BRANDY",BRANDY,375,220,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
56,"11TH HOUR PREMIUM BRANDY",BRANDY,750,380,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
58,"1848 DELUXE XO BRANDY",BRANDY,180,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
61,"1943 BLACK & GOLD RARE PREMIUM WHISKY",WHYSKY,180,340,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
65,"1943 BLACK & GOLD RARE PREMIUM FRENCH BRANDY VSOP",BRANDY,180,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
70,"1965 PREMIUM XXX RUM",RUM,180,270,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
74,"2 BARRELS XXX RUM",RUM,375,160,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
75,"2 BARRELS XXX RUM",RUM,750,310,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
76,"3D XXX RUM",RUM,750,220,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
77,"44 NIGHTS BRANDY",BRANDY,375,180,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
78,"44 NIGHTS BRANDY",BRANDY,750,360,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
80,"6 BULLET BRANDY",BRANDY,180,140,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
81,"6 BULLET BRANDY",BRANDY,375,260,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
82,"6 BULLET BRANDY",BRANDY,500,330,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
83,"6 BULLET BRANDY",BRANDY,750,490,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
85,"6 BULLET RUM",RUM,180,140,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
86,"6 BULLET RUM",RUM,375,260,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
87,"6 BULLET RUM",RUM,500,330,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
88,"6 BULLET RUM",RUM,750,490,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
89,"6 BULLET WHISKY",WHYSKY,180,260,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
93,"ZAMPA SOIR?E S?LECTE BRUT ROS?,ZAMPA SOIR?E S?LE BR ROS?,10070.89",WINE,750,0,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
95,"7 KNIGHTS PREMIUM BRANDY",BRANDY,180,140,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
96,"7 KNIGHTS PREMIUM BRANDY",BRANDY,375,270,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
97,"7 KNIGHTS PREMIUM BRANDY",BRANDY,500,340,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
100,"7 KNIGHTS PREMIUM XXX RUM",RUM,180,140,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
101,"7 KNIGHTS PREMIUM XXX RUM",RUM,375,270,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
102,"7 KNIGHTS PREMIUM XXX RUM",RUM,500,340,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
106,"7'S SEVEN'S CLASSIC BRANDY",BRANDY,180,170,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
108,"7'S SEVEN'S CLASSIC BRANDY",BRANDY,375,290,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
109,"7'S SEVEN'S CLASSIC BRANDY",BRANDY,500,390,"2022-05-11 11:08:20.000000","2022-05-11 11:08:20.000000"
